text,created_at,likes,retweet_count,followers_count
0.0,2021-12-26 11:25:41+00:00,0,7,78
0.3182,2021-12-26 11:25:35+00:00,0,0,0
0.836,2021-12-26 11:25:35+00:00,0,83,19
0.0,2021-12-26 11:25:28+00:00,0,437,392
-0.8225,2021-12-26 11:25:18+00:00,0,501,3
0.7717,2021-12-26 11:25:05+00:00,1,0,698
0.7845,2021-12-26 11:25:01+00:00,0,1,12
-0.8225,2021-12-26 11:24:49+00:00,0,501,635
0.0,2021-12-26 11:24:44+00:00,0,0,78
0.0,2021-12-26 11:24:41+00:00,0,39,81
-0.8338,2021-12-26 11:24:24+00:00,0,18,1718
0.4215,2021-12-26 11:24:21+00:00,0,232,31
0.0,2021-12-26 11:23:59+00:00,0,0,0
0.0,2021-12-26 11:23:56+00:00,0,1,15
0.4019,2021-12-26 11:23:50+00:00,0,1,191
-0.8225,2021-12-26 11:23:43+00:00,0,501,4089
-0.4019,2021-12-26 11:23:37+00:00,0,9315,658
0.7003,2021-12-26 11:23:12+00:00,0,396,38
0.7717,2021-12-26 11:22:41+00:00,0,0,558
0.2411,2021-12-26 11:22:38+00:00,0,2582,0
0.4215,2021-12-26 11:22:30+00:00,0,0,55
0.4215,2021-12-26 11:22:23+00:00,0,209,152
0.34,2021-12-26 11:22:12+00:00,0,581,1492
-0.296,2021-12-26 11:22:09+00:00,0,150,447
0.5709,2021-12-26 11:22:01+00:00,0,94,390
0.7003,2021-12-26 11:21:37+00:00,0,396,55
-0.0772,2021-12-26 11:21:31+00:00,0,326,32
-0.2023,2021-12-26 11:21:25+00:00,0,117,376
0.0,2021-12-26 11:21:25+00:00,0,1850,22
0.0,2021-12-26 11:21:06+00:00,0,37,332
0.4767,2021-12-26 11:20:49+00:00,0,1,28
0.7845,2021-12-26 11:20:46+00:00,0,1,35838
0.4404,2021-12-26 11:20:43+00:00,0,350,7815
-0.4215,2021-12-26 11:20:40+00:00,0,0,729
0.2263,2021-12-26 11:20:37+00:00,0,496,110
-0.5095,2021-12-26 11:20:16+00:00,0,0,4
0.4215,2021-12-26 11:20:13+00:00,0,209,65
0.0,2021-12-26 11:20:00+00:00,0,0,170
0.4404,2021-12-26 11:19:53+00:00,0,350,222
0.6369,2021-12-26 11:19:40+00:00,0,98,390
0.5106,2021-12-26 11:19:36+00:00,0,132,3
-0.8225,2021-12-26 11:19:23+00:00,0,501,223
0.0,2021-12-26 11:19:15+00:00,0,37,1227
-0.8225,2021-12-26 11:19:14+00:00,0,501,3341
0.1779,2021-12-26 11:19:10+00:00,0,518,1
0.7506,2021-12-26 11:19:09+00:00,0,0,163
-0.1174,2021-12-26 11:19:08+00:00,0,50,977
0.2023,2021-12-26 11:18:52+00:00,0,6,234
0.0,2021-12-26 11:18:40+00:00,0,748,0
0.0,2021-12-26 11:18:37+00:00,0,0,58
0.0,2021-12-26 11:18:31+00:00,3,0,122
0.0,2021-12-26 11:18:15+00:00,0,0,8
0.0,2021-12-26 11:18:15+00:00,0,437,11
0.2023,2021-12-26 11:18:10+00:00,0,0,977
0.6705,2021-12-26 11:17:55+00:00,0,0,2
0.836,2021-12-26 11:17:48+00:00,0,9256,0
0.6705,2021-12-26 11:17:47+00:00,0,34,73
-0.1531,2021-12-26 11:17:42+00:00,0,0,331
