,Date,Open,High,Low,Close,Adj Close,Volume
78,2021-04-01,688.369995,692.419983,659.419983,661.75,661.75,35298400
79,2021-04-05,707.710022,708.159973,684.700012,691.049988,691.049988,41842800
80,2021-04-06,690.299988,696.549988,681.369995,691.619995,691.619995,28271800
81,2021-04-07,687.0,691.380005,667.840027,670.969971,670.969971,26309400
82,2021-04-08,677.380005,689.549988,671.650024,683.799988,683.799988,23924300
83,2021-04-09,677.77002,680.969971,669.429993,677.02002,677.02002,21437100
84,2021-04-12,685.700012,704.799988,682.090027,701.97998,701.97998,29135700
85,2021-04-13,712.700012,763.0,710.659973,762.320007,762.320007,44652800
86,2021-04-14,770.700012,780.789978,728.030029,732.22998,732.22998,49017400
87,2021-04-15,743.099976,743.690002,721.309998,738.849976,738.849976,27848900
88,2021-04-16,728.650024,749.409973,724.599976,739.780029,739.780029,27979500
89,2021-04-19,719.599976,725.400024,691.799988,714.630005,714.630005,39686200
90,2021-04-20,717.419983,737.25,710.690002,718.98999,718.98999,35609000
91,2021-04-21,704.77002,744.840027,698.0,744.119995,744.119995,31215500
92,2021-04-22,741.5,753.77002,718.039978,719.690002,719.690002,35590300
93,2021-04-23,719.799988,737.359985,715.460022,729.400024,729.400024,28370000
94,2021-04-26,741.0,749.299988,732.609985,738.200012,738.200012,31038500
95,2021-04-27,717.960022,724.0,703.349976,704.73999,704.73999,29437000
96,2021-04-28,696.409973,708.5,693.599976,694.400024,694.400024,22271000
97,2021-04-29,699.51001,702.25,668.5,677.0,677.0,28845400
98,2021-04-30,667.590027,715.469971,666.140015,709.440002,709.440002,40758700
99,2021-05-03,703.799988,706.0,680.5,684.900024,684.900024,27043100
100,2021-05-04,678.940002,683.450012,657.700012,673.599976,673.599976,29739300
101,2021-05-05,681.059998,685.299988,667.340027,670.940002,670.940002,21901900
102,2021-05-06,680.76001,681.02002,650.0,663.539978,663.539978,27784600
103,2021-05-07,665.799988,690.0,660.219971,672.369995,672.369995,23469200
104,2021-05-10,664.900024,665.049988,627.609985,629.039978,629.039978,31392400
105,2021-05-11,599.23999,627.099976,595.599976,617.200012,617.200012,46503900
106,2021-05-12,602.48999,620.409973,586.77002,589.890015,589.890015,33823600
107,2021-05-13,601.539978,606.460022,559.650024,571.690002,571.690002,44184900
108,2021-05-14,583.409973,592.869995,570.460022,589.73999,589.73999,33370900
109,2021-05-17,575.549988,589.72998,561.200012,576.830017,576.830017,32390400
110,2021-05-18,568.0,596.25,563.380005,577.869995,577.869995,36830600
111,2021-05-19,552.549988,566.210022,546.97998,563.460022,563.460022,39578400
112,2021-05-20,575.0,588.849976,571.070007,586.780029,586.780029,30821100
113,2021-05-21,596.109985,596.679993,580.0,580.880005,580.880005,26030600
114,2021-05-24,581.599976,614.47998,573.650024,606.440002,606.440002,34558100
115,2021-05-25,607.309998,613.98999,595.710022,604.690002,604.690002,28005900
116,2021-05-26,607.559998,626.169983,601.5,619.130005,619.130005,28639300
117,2021-05-27,620.23999,631.130005,616.210022,630.849976,630.849976,26370600
118,2021-05-28,628.5,635.590027,622.380005,625.219971,625.219971,22737000
119,2021-06-01,627.799988,633.799988,620.549988,623.900024,623.900024,18084900
120,2021-06-02,620.130005,623.359985,599.140015,605.119995,605.119995,23302800
121,2021-06-03,601.799988,604.549988,571.219971,572.840027,572.840027,30111900
122,2021-06-04,579.710022,600.609985,577.200012,599.049988,599.049988,24036900
123,2021-06-07,591.830017,610.0,582.880005,605.130005,605.130005,22543700
124,2021-06-08,623.01001,623.090027,595.5,603.590027,603.590027,26053400
125,2021-06-09,602.169983,611.789978,597.630005,598.780029,598.780029,16584600
126,2021-06-10,603.880005,616.590027,600.5,610.119995,610.119995,23919600
127,2021-06-11,610.22998,612.559998,601.52002,609.890015,609.890015,16205300
128,2021-06-14,612.22998,625.48999,609.179993,617.690002,617.690002,20424000
129,2021-06-15,616.690002,616.789978,598.22998,599.359985,599.359985,17764100
130,2021-06-16,597.539978,608.5,593.5,604.869995,604.869995,22144100
131,2021-06-17,601.890015,621.469971,601.340027,616.599976,616.599976,22701400
132,2021-06-18,613.369995,628.349976,611.799988,623.309998,623.309998,24560900
133,2021-06-21,624.47998,631.390015,608.880005,620.830017,620.830017,24812700
134,2021-06-22,618.25,628.570007,615.5,623.710022,623.710022,19158900
135,2021-06-23,632.0,657.200012,630.039978,656.570007,656.570007,31099200
136,2021-06-24,674.98999,697.619995,667.609985,679.820007,679.820007,45982400
137,2021-06-25,689.580017,693.809998,668.700012,671.869995,671.869995,32496700
138,2021-06-28,671.640015,694.700012,670.320007,688.719971,688.719971,21628200
139,2021-06-29,684.650024,687.51001,675.890015,680.76001,680.76001,17381300
140,2021-06-30,679.77002,692.809998,678.140015,679.700012,679.700012,18924900
141,2021-07-01,683.919983,687.98999,672.799988,677.919983,677.919983,18634500
142,2021-07-02,678.97998,700.0,673.26001,678.900024,678.900024,27054500
143,2021-07-06,681.710022,684.0,651.400024,659.580017,659.580017,23284500
144,2021-07-07,664.27002,665.700012,638.320007,644.650024,644.650024,18792000
145,2021-07-08,628.369995,654.429993,620.460022,652.809998,652.809998,22773300
146,2021-07-09,653.179993,658.909973,644.690002,656.950012,656.950012,18140500
147,2021-07-12,662.200012,687.23999,662.159973,685.700012,685.700012,25927000
148,2021-07-13,686.320007,693.280029,666.299988,668.539978,668.539978,20966100
149,2021-07-14,670.75,678.609985,652.840027,653.380005,653.380005,21641200
150,2021-07-15,658.390015,666.140015,637.880005,650.599976,650.599976,20209600
151,2021-07-16,654.679993,656.700012,642.200012,644.219971,644.219971,16371000
152,2021-07-19,629.890015,647.200012,621.289978,646.219971,646.219971,21297100
153,2021-07-20,651.98999,662.390015,640.5,660.5,660.5,15487100
154,2021-07-21,659.609985,664.859985,650.289978,655.289978,655.289978,13953300
155,2021-07-22,656.440002,662.169983,644.599976,649.26001,649.26001,15105700
156,2021-07-23,646.359985,648.799988,637.299988,643.380005,643.380005,14604900
157,2021-07-26,650.969971,668.200012,647.109985,657.619995,657.619995,25336600
158,2021-07-27,663.400024,666.5,627.23999,644.780029,644.780029,32813300
159,2021-07-28,647.0,654.969971,639.400024,646.97998,646.97998,16006600
160,2021-07-29,649.789978,683.690002,648.799988,677.349976,677.349976,30394600
161,2021-07-30,671.76001,697.530029,669.0,687.200012,687.200012,29600500
162,2021-08-02,700.0,726.940002,698.400024,709.669983,709.669983,33615800
163,2021-08-03,719.0,722.650024,701.01001,709.73999,709.73999,21620300
164,2021-08-04,711.0,724.900024,708.929993,710.919983,710.919983,17002600
165,2021-08-05,716.0,720.950012,711.409973,714.630005,714.630005,12919600
166,2021-08-06,711.900024,716.330017,697.630005,699.099976,699.099976,15576200
167,2021-08-09,710.169983,719.030029,705.130005,713.76001,713.76001,14715300
168,2021-08-10,713.98999,716.590027,701.880005,709.98999,709.98999,13432300
169,2021-08-11,712.710022,715.179993,704.210022,707.820007,707.820007,9800600
170,2021-08-12,706.340027,722.799988,699.400024,722.25,722.25,17459100
171,2021-08-13,723.710022,729.900024,714.340027,717.169983,717.169983,16698900
172,2021-08-16,705.070007,709.5,676.400024,686.169983,686.169983,22677400
173,2021-08-17,672.659973,674.580017,648.840027,665.710022,665.710022,23721300
174,2021-08-18,669.75,695.77002,669.349976,688.98999,688.98999,20349400
175,2021-08-19,678.210022,686.549988,667.590027,673.469971,673.469971,14313500
176,2021-08-20,682.849976,692.130005,673.700012,680.26001,680.26001,14781800
177,2021-08-23,685.440002,712.130005,680.75,706.299988,706.299988,20264900
178,2021-08-24,710.679993,715.219971,702.640015,708.48999,708.48999,13083100
179,2021-08-25,707.030029,716.969971,704.0,711.200012,711.200012,12645600
180,2021-08-26,708.309998,715.400024,697.619995,701.159973,701.159973,13214300
181,2021-08-27,705.0,715.0,702.099976,711.919983,711.919983,13762100
182,2021-08-30,714.719971,731.0,712.72998,730.909973,730.909973,18604200
183,2021-08-31,733.0,740.390015,726.440002,735.719971,735.719971,20855400
184,2021-09-01,734.080017,741.98999,731.27002,734.090027,734.090027,13204300
185,2021-09-02,734.5,740.969971,730.539978,732.390015,732.390015,12777300
186,2021-09-03,732.25,734.0,724.200012,733.570007,733.570007,15246100
187,2021-09-07,740.0,760.200012,739.26001,752.919983,752.919983,20039800
188,2021-09-08,761.580017,764.450012,740.77002,753.869995,753.869995,18793000
189,2021-09-09,753.409973,762.099976,751.630005,754.859985,754.859985,14077700
190,2021-09-10,759.599976,762.609985,734.52002,736.27002,736.27002,15114300
191,2021-09-13,740.210022,744.780029,708.849976,743.0,743.0,22952500
192,2021-09-14,742.570007,754.469971,736.400024,744.48999,744.48999,18524900
193,2021-09-15,745.0,756.859985,738.359985,755.830017,755.830017,15357700
194,2021-09-16,752.830017,758.909973,747.609985,756.98999,756.98999,13923400
195,2021-09-17,757.150024,761.039978,750.0,759.48999,759.48999,28204200
196,2021-09-20,734.559998,742.0,718.619995,730.169983,730.169983,24757700
197,2021-09-21,734.789978,744.73999,730.440002,739.380005,739.380005,16330700
198,2021-09-22,743.530029,753.669983,739.119995,751.940002,751.940002,15126300
199,2021-09-23,755.0,758.200012,747.919983,753.640015,753.640015,11947500
200,2021-09-24,745.890015,774.799988,744.559998,774.390015,774.390015,21373000
201,2021-09-27,773.119995,799.0,769.309998,791.359985,791.359985,28070700
202,2021-09-28,787.200012,795.640015,766.179993,777.559998,777.559998,25381400
